author_name,affiliation,city,country,publication_date,title,latitude,longitude,cluster
Han P.Q.,Beihang University,Beijing,China,2017-12-29,Research on modeling and control of precooling hypersonic aeroengine,40.190632,116.412144,2
Guo X.,Beijing General Research Institute of Mining and Metallurgy,Beijing,China,2017-12-29,Analysis and simulation research on adaptive obstacle climbing motion of seabed mining vehicle,40.190632,116.412144,2
Yan H.,Beijing Research Institute of Precise Mechanical and Electronic Control Equipment,Beijing,China,2017-12-29,The redundancy management of the dual-redundancy electromechanical servo system,40.190632,116.412144,2
Zhao T.,Dalian University of Technology,Dalian,China,2017-12-29,Study on architecture and application technology of Ubi-bus network of building automation system,39.740278,122.255833,2
Chen R.,Shandong University,Jinan,China,2017-12-29,The relationship between the number of poles and the bearing capacity of radial magnetic bearing,36.6519754,117.1138479,2
Feng L.,"College of Information Science and Engineering, Northeastern University",Shenyang,China,2017-12-29,Fault detection for fused magnesium process with missing data method,41.8026095,123.4279105,2
Wang L.,Wenzhou University,Wenzhou,China,2017-12-29,Thermal sturcutre design of air-cooled heat sinks for power electronic equipments by constrained population extremal optimization,27.9963899,120.695345,2
Jiang Y.,Beijing General Research Institute of Mining and Metallurgy,Beijing,China,2017-12-29,Simulation and analysis of obstacle control strategy for electric driven seabed mining vehicle,40.190632,116.412144,2
Chai L.,Beijing Jiaotong University,Beijing,China,2017-12-29,"Simulation and testing method for evaluating the effects of position error, communication delay and penetration rate to connected vehicles safety",40.190632,116.412144,2
Sun Z.,The University of Hong Kong,Hong Kong,Hong Kong,2017-12-29,Discrete nonlinear contraction theory based adaptive control strategy for a class of hammerstein systems with saturated hysteresis,22.2793278,114.1628131,2
He S.,South China University of Technology,Guangzhou,China,2017-12-29,Hand gesture recognition using MYO armband,23.1301964,113.2592945,2
Baoran A.,China Academy of Engineering Physics,Mianyang,China,2017-12-29,Challenges and solutions in the integrated computer control system for large-scale facilities,31.4602714,104.7160723,2
Peng Y.,State Grid Shanghai Municipal Electric Power Company,Shanghai,China,2017-12-29,Design and development of intelligent operation and maintenance training system for substation based on augmented reality,31.2312707,121.4700152,2
Chen P.,Harbin Institute of Technology,Harbin,China,2017-12-29,Shape interpolating on closed curves space with stretching channels,45.7593633,126.6276177,2
Liu X.,Qingdao University,Qingdao,China,2017-12-29,Experiment of SAS based on LabVIEW,36.0637967,120.3192081,2
Shi S.,Xi'an Research Institute of High Technology,Xi'an,China,2017-12-29,Research on extended trajectory shaping guidance law considering dynamic lag,34.261004,108.9423363,2
Zhang P.,Harbin University of Science and Technology,Harbin,China,2017-12-29,Robust sliding mode control for discrete delayed systems with randomly varying nonlinearities under uncertain occurrence probability,45.7593633,126.6276177,2
Han M.,Shandong University,Jinan,China,2017-12-29,Experimental research of microseismic source localization based on improved simplex optimization algorithm,36.6519754,117.1138479,2
Xu X.,Nanjing University of Aeronautics and Astronautics,Nanjing,China,2017-12-29,Cabin pressurization control system design of civil aircraft by model based systems engineering,32.0438284,118.7788631,2
Zhang B.,Shandong University,Jinan,China,2017-12-29,Research on the GPRS remote data compression and transmission technology for structure healthy monitoring,36.6519754,117.1138479,2
Seppanen M.,Tampere University,Tampere,Finland,2017-12-29,Yet another ecosystem literature review: 10+1 Research communities,61.4980214,23.7603118,0
Chen Y.,North China Electric Power University (Baoding),Baoding,China,2017-12-29,Investigation of winnowing pan from the perspective of craftsmanship and semantic expression,38.8579735,115.490696,2
Tanaka K.,Tokyo City University,Tokyo,Japan,2017-12-29,An extended simulink to UML model transformation tool for embedded control software development,35.6768601,139.7638947,2
Zhou M.,Air Force Early Warning Academy,Wuhan,China,2017-12-29,A new distributed subspace pursuit algorithm and its performance analysis,30.5951051,114.2999353,2
Guan Y.,National University of Defense Technology China,Changsha,China,2017-12-29,Study of frequency scaling algorithm in airborne TOPS mode,28.1450774,113.2384362,2
Liu X.,National University of Defense Technology China,Changsha,China,2017-12-29,Performance analysis of pulse radar target probing based on non-ideal interrupted transmitting and receiving in RFS,28.1450774,113.2384362,2
